customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,geolocation_lat,geolocation_lng,first_order,last_order,total_orders,avg_payment
0000366f3b9a7992bf8c76cfdf3221e2,7787,cajamar,SP,-23.35345265385859,-46.823060109129656,2018-05-10 10:56:27,2018-05-10 10:56:27,1,141.9
0000b849f77a49e4a4ce2b2a4ca5be3f,6053,osasco,SP,-23.568118772981613,-46.79298137191984,2018-05-07 11:11:27,2018-05-07 11:11:27,1,27.19
0000f46a3911fa3c0805444483337064,88115,sao jose,SC,-27.561521787006026,-48.63735431370913,2017-03-10 21:05:03,2017-03-10 21:05:03,1,86.22
0000f6ccb0745a6a4b88665a16c9f078,66812,belem,PA,-1.449059348430227,-48.49550733684234,2017-10-12 20:29:41,2017-10-12 20:29:41,1,43.62
0004aac84e0df4da2b147fca70cf8255,18040,sorocaba,SP,-23.51488317707312,-47.469015911189295,2017-11-14 19:45:42,2017-11-14 19:45:42,1,196.89
0004bd2a26a76fe21f786e4fbd80607f,5036,sao paulo,SP,-23.52194767784652,-46.68737069066535,2018-04-05 19:33:16,2018-04-05 19:33:16,1,166.98
00050ab1314c0e55a6ca13cf7181fecf,13084,campinas,SP,-22.83485919677996,-47.08104472883605,2018-04-20 12:57:23,2018-04-20 12:57:23,1,35.38
00053a61a98854899e70ed204dd4bafe,80410,curitiba,PR,-25.58471091767637,-49.27387230504646,2018-02-28 11:15:41,2018-02-28 11:15:41,1,419.18
0005e1862207bf6ccc02e4228effd9a0,25966,teresopolis,RJ,-22.41294503208496,-42.998126650451375,2017-03-04 23:32:12,2017-03-04 23:32:12,1,150.12
0005ef4cd20d2893f0d9fbd94d3c0d97,65060,sao luis,MA,-2.5677536076943976,-44.2801403535064,2018-03-12 15:22:12,2018-03-12 15:22:12,1,129.76
0006fdc98a402fceb4eb0ee528f6a8d4,29400,mimoso do sul,ES,-21.0696943606914,-41.3565743714896,2017-07-18 09:23:10,2017-07-18 09:23:10,1,29.0
00082cbe03e478190aadbea78542e933,18400,itapeva,SP,-23.993507285462524,-48.86614377536423,2017-11-19 15:22:02,2017-11-19 15:22:02,1,126.26
00090324bbad0e9342388303bb71ba0a,13054,campinas,SP,-23.037330248398675,-47.11851716680133,2018-03-24 14:44:41,2018-03-24 14:44:41,1,63.66
000949456b182f53c18b68d6babc79c1,9613,sao bernardo do campo,SP,-23.67116066973347,-46.56571843845158,2018-04-23 09:55:46,2018-04-23 09:55:46,1,82.05
000a5ad9c4601d2bbdd9ed765d5213b3,90560,porto alegre,RS,-30.028527276288788,-51.21717597336376,2017-08-11 13:45:15,2017-08-11 13:45:15,1,91.28
000bfa1d2f1a41876493be685390d6d3,11095,santos,SP,-23.936792499999967,-46.32142838399994,2017-09-29 14:46:58,2017-09-29 14:46:58,1,46.85
000c8bdb58a29e7115cfc257230fb21b,31555,belo horizonte,MG,-19.84909031530948,-43.98182678974558,2017-12-12 22:53:35,2017-12-12 22:53:35,1,29.0
000d460961d6dbfa3ec6c9f5805769e1,1206,sao paulo,SP,-23.540679937821004,-46.63915998167807,2018-01-07 22:59:25,2018-01-07 22:59:25,1,36.68
000de6019bb59f34c099a907c151d855,11612,sao sebastiao,SP,-23.82787623980033,-45.42882248167812,2017-08-17 19:10:33,2017-08-17 19:10:33,1,257.44
000e309254ab1fc5ba99dd469d36bdb4,72872,valparaiso de goias,GO,-16.094378035078574,-47.98202765186807,2018-06-25 09:53:57,2018-06-25 09:53:57,1,39.21
